block_start,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,usage_percentage,models
2025-11-20T10:00:00+00:00,101810,623470,4761738,57750788,63237806,22.47,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-21T00:00:00+00:00,46344,488621,3736060,120783311,125054336,44.43,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-21T05:00:00+00:00,256237,1353470,12165321,172028989,185804017,66.01,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-21T10:00:00+00:00,127742,815465,4393388,66020134,71356729,25.35,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-21T15:00:00+00:00,13612,212118,2790713,27956310,30972753,11.00,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-21T20:00:00+00:00,14248,83872,1369371,13060428,14527919,5.16,claude-sonnet-4-5-20250929
2025-11-22T00:00:00+00:00,49540,621120,5331072,93323896,99325628,35.29,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-22T05:00:00+00:00,19965,30935,248973,2404830,2704703,0.96,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-22T10:00:00+00:00,137350,386328,4952102,177963509,183439289,65.17,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-22T15:00:00+00:00,106291,394591,8088649,179067175,187656706,66.67,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-22T20:00:00+00:00,57003,230121,4921245,128640094,133848463,47.55,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-23T00:00:00+00:00,260236,182051,2286627,35767791,38496705,13.68,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-23T10:00:00+00:00,211321,434047,8462310,113920770,123028448,43.71,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-23T15:00:00+00:00,444,6199,491351,6286194,6784188,2.41,claude-sonnet-4-5-20250929
2025-11-24T00:00:00+00:00,165043,307943,7356329,137182772,145012087,51.52,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-24T05:00:00+00:00,77386,108229,2272068,53049415,55507098,19.72,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
2025-11-25T00:00:00+00:00,110013,163266,4286311,56776036,61335626,21.79,"<synthetic>,claude-haiku-4-5-20251001,claude-opus-4-5-20251101,claude-sonnet-4-5-20250929"
2025-11-25T05:00:00+00:00,57672,140199,3316196,57109423,60623490,21.54,"claude-haiku-4-5-20251001,claude-opus-4-5-20251101,claude-sonnet-4-5-20250929"
