device,block_start,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,usage_percentage,estimated_limit,models
mac-work,2025-11-20T00:00:00,99544,1287912,6968613,85590324,93946393,41.72,225188047,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-20T05:00:00,66132,628359,5310326,61541673,67546490,30.0,225188047,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-20T10:00:00,101810,623470,4761738,57750788,63237806,28.08,225188047,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-21T00:00:00,46344,488621,3736060,120783311,125054336,55.53,225188047,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-21T05:00:00,256237,1353470,12165321,172028989,185804017,82.51,225188047,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-21T10:00:00,127742,815465,4393388,66020134,71356729,31.69,225188047,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-21T15:00:00,13612,212118,2790713,27956310,30972753,13.75,225188047,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-21T20:00:00,14248,83872,1369371,13060428,14527919,6.45,225188047,claude-sonnet-4-5-20250929
mac-work,2025-11-22T00:00:00,49540,621120,5331072,93323896,99325628,44.11,225188047,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-22T05:00:00,19965,30935,248973,2404830,2704703,1.2,225188047,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-22T10:00:00,137350,386328,4952102,177963509,183439289,81.46,225188047,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-22T15:00:00,106291,394591,8088649,179067175,187656706,83.33,225188047,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-22T20:00:00,57003,230121,4921245,128640094,133848463,59.44,225188047,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-23T00:00:00,260236,182051,2286627,35767791,38496705,17.1,225188047,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-23T10:00:00,211321,434047,8462310,113920770,123028448,54.63,225188047,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-23T15:00:00,444,6199,491351,6286194,6784188,3.01,225188047,claude-sonnet-4-5-20250929
mac-work,2025-11-24T00:00:00,165043,307943,7356329,137182772,145012087,64.4,225188047,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-24T05:00:00,77386,108229,2272068,53049415,55507098,24.65,225188047,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-25T00:00:00,110013,163266,4286311,56776036,61335626,27.24,225188047,"<synthetic>,claude-haiku-4-5-20251001,claude-opus-4-5-20251101,claude-sonnet-4-5-20250929"
mac-work,2025-11-25T05:00:00,57674,148517,3368934,61350882,64926007,28.83,225188047,"claude-haiku-4-5-20251001,claude-opus-4-5-20251101,claude-sonnet-4-5-20250929"
