device,block_start,total_tokens,sonnet_tokens,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,session_usage_pct,session_limit,models
mac-work,2025-11-20T10:00:00,63237806,63197808,101810,623470,4761738,57750788,71.86,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-21T00:00:00,125054336,125023048,46344,488621,3736060,120783311,142.11,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-21T05:00:00,185804017,185734693,256237,1353470,12165321,172028989,211.14,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-21T10:00:00,71356729,71340977,127742,815465,4393388,66020134,81.09,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-21T15:00:00,30972753,30966256,13612,212118,2790713,27956310,35.2,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-21T20:00:00,14527919,14527919,14248,83872,1369371,13060428,16.51,88000000,claude-sonnet-4-5-20250929
mac-work,2025-11-22T00:00:00,99325628,99319701,49540,621120,5331072,93323896,112.87,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-22T05:00:00,2704703,2685179,19965,30935,248973,2404830,3.07,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-22T10:00:00,183439289,183340919,137350,386328,4952102,177963509,208.45,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-22T15:00:00,187656706,187172299,106291,394591,8088649,179067175,213.25,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-22T20:00:00,133848463,133825799,57003,230121,4921245,128640094,152.1,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-23T00:00:00,38496705,38325429,260236,182051,2286627,35767791,43.75,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-23T10:00:00,123028448,122988419,211321,434047,8462310,113920770,139.81,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-23T15:00:00,6784188,6784188,444,6199,491351,6286194,7.71,88000000,claude-sonnet-4-5-20250929
mac-work,2025-11-24T00:00:00,145012087,144286470,165043,307943,7356329,137182772,164.79,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-24T05:00:00,55507098,55460186,77386,108229,2272068,53049415,63.08,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-25T00:00:00,61335626,20492362,110013,163266,4286311,56776036,69.7,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-opus-4-5-20251101,claude-sonnet-4-5-20250929"
mac-work,2025-11-25T05:00:00,67378363,29960414,57732,155209,3707892,63457530,76.57,88000000,"claude-haiku-4-5-20251001,claude-opus-4-5-20251101,claude-sonnet-4-5-20250929"
